LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,HORA,DIA_SEM,TEMPO,REGIAO,FATAIS,FERIDOS_GR
Cruzamento,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,14:30,SEXTA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,16:45,SEXTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,16:30,SEXTA-FEIRA,BOM,CENTRO,0,0
Cruzamento,CHOQUE,1,0,0,0,0,0,0,0,0,0,05:45,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,12:00,SEXTA-FEIRA,BOM,LESTE,1,0
Logradouro,COLISAO,1,0,0,0,0,1,0,0,0,0,15:35,SABADO,BOM,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,16:25,SABADO,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,0,1,0,1,0,0,0,0,0,0,18:30,SABADO,BOM,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,22:30,SABADO,BOM,CENTRO,0,0
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,06:30,SABADO,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,12:15,SABADO,BOM,LESTE,0,0
Logradouro,COLISAO,1,0,0,1,0,0,0,0,0,0,09:25,SABADO,BOM,NORTE,0,0
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,15:00,SABADO,BOM,LESTE,0,1
Logradouro,COLISAO,1,0,0,1,0,0,0,0,0,0,11:10,SABADO,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,0,1,1,0,0,0,0,0,0,0,21:45,SABADO,BOM,NORTE,0,0
Logradouro,COLISAO,1,0,0,0,0,0,1,0,0,0,19:30,SABADO,BOM,NORTE,0,0
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,20:15,SABADO,NUBLADO,LESTE,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,18:08,SABADO,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,0,0,1,16:00,SABADO,BOM,NORTE,0,0
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,14:00,DOMINGO,BOM,SUL,0,0
Cruzamento,CHOQUE,2,0,0,0,0,0,0,0,0,0,07:50,DOMINGO,BOM,CENTRO,0,0
Logradouro,COLISAO,1,0,0,1,0,0,0,0,0,0,11:20,DOMINGO,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,1,0,0,0,1,0,0,0,0,0,00:01,DOMINGO,NUBLADO,CENTRO,0,0
Cruzamento,CHOQUE,2,0,0,0,0,0,0,0,0,0,17:35,DOMINGO,BOM,CENTRO,0,0
Logradouro,COLISAO,1,0,0,0,0,1,0,0,0,0,17:50,DOMINGO,BOM,CENTRO,0,0
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,11:36,DOMINGO,BOM,CENTRO,0,0
Cruzamento,CHOQUE,1,0,0,0,0,0,0,0,0,0,16:05,DOMINGO,BOM,SUL,0,0
Logradouro,COLISAO,1,1,0,0,0,0,0,0,0,0,22:40,DOMINGO,BOM,SUL,0,0
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,06:50,DOMINGO,BOM,SUL,0,1
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,15:00,DOMINGO,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,11:20,DOMINGO,BOM,NORTE,0,0
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,18:30,DOMINGO,BOM,LESTE,0,0
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,12:00,DOMINGO,BOM,LESTE,0,0
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,00:05,DOMINGO,BOM,SUL,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,16:45,DOMINGO,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,08:00,DOMINGO,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,19:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,15:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,16:35,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,13:40,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,1,1,0,0,0,0,0,0,0,0,08:00,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,0,0,0,0,1,0,0,1,0,0,08:00,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,1,0,0,0,0,0,1,0,0,0,18:35,SEGUNDA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,17:45,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,11:30,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,16:05,SEGUNDA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,18:30,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,0,1,1,0,0,0,0,0,0,0,15:00,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,CHOQUE,2,0,0,0,0,0,0,0,0,0,13:45,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,01:50,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,08:20,SEGUNDA-FEIRA,BOM,SUL,0,1
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,15:15,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,1,0,0,0,0,0,1,0,0,0,10:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,CHOQUE,2,0,0,0,0,0,0,0,0,0,13:25,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,15:40,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,11:05,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,0,1,0,0,0,0,1,0,0,0,18:30,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,0,0,0,1,0,0,0,1,0,0,18:50,SEGUNDA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,1,0,0,0,1,0,0,0,0,0,14:03,SEGUNDA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,1,1,0,0,0,0,0,0,0,0,22:30,SEGUNDA-FEIRA,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,1,0,0,1,0,0,0,0,0,0,10:10,SEGUNDA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,17:04,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,0,1,0,0,0,0,0,1,0,0,17:28,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,10:30,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,18:40,SEGUNDA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,12:55,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,12:59,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,17:15,SEGUNDA-FEIRA,BOM,NORTE,0,1
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,08:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,CHOQUE,1,0,0,0,0,1,0,0,0,0,07:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,13:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,0,1,0,0,0,0,0,1,0,0,08:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ATROPELAMENTO,0,1,0,0,0,0,0,0,0,0,21:40,SEGUNDA-FEIRA,BOM,LESTE,0,1
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,22:05,SEGUNDA-FEIRA,NUBLADO,SUL,0,0
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,10:20,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,16:35,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,1,0,1,0,0,0,0,0,0,0,11:05,SEGUNDA-FEIRA,BOM,NORTE,0,0
