LOCAL,TIPO_ACID,HORA,DIA_SEM,TEMPO,REGIAO,FATAIS,FERIDOS_GR
Cruzamento,ATROPELAMENTO,14:30,SEXTA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,16:45,SEXTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ATROPELAMENTO,16:30,SEXTA-FEIRA,BOM,CENTRO,0,0
Cruzamento,CHOQUE,05:45,SEXTA-FEIRA,BOM,LESTE,0,0
Logradouro,CHOQUE,12:00,SEXTA-FEIRA,BOM,LESTE,1,0
Logradouro,COLISAO,15:35,SABADO,BOM,CENTRO,0,0
Logradouro,COLISAO,16:25,SABADO,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,18:30,SABADO,BOM,CENTRO,0,0
Logradouro,COLISAO,22:30,SABADO,BOM,CENTRO,0,0
Logradouro,QUEDA,06:30,SABADO,BOM,NORTE,0,0
Cruzamento,ABALROAMENTO,12:15,SABADO,BOM,LESTE,0,0
Logradouro,COLISAO,09:25,SABADO,BOM,NORTE,0,0
Logradouro,COLISAO,15:00,SABADO,BOM,LESTE,0,1
Logradouro,COLISAO,11:10,SABADO,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,21:45,SABADO,BOM,NORTE,0,0
Logradouro,COLISAO,19:30,SABADO,BOM,NORTE,0,0
Logradouro,CHOQUE,20:15,SABADO,NUBLADO,LESTE,0,0
Cruzamento,ABALROAMENTO,18:08,SABADO,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,16:00,SABADO,BOM,NORTE,0,0
Logradouro,CHOQUE,14:00,DOMINGO,BOM,SUL,0,0
Cruzamento,CHOQUE,07:50,DOMINGO,BOM,CENTRO,0,0
Logradouro,COLISAO,11:20,DOMINGO,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,00:01,DOMINGO,NUBLADO,CENTRO,0,0
Cruzamento,CHOQUE,17:35,DOMINGO,BOM,CENTRO,0,0
Logradouro,COLISAO,17:50,DOMINGO,BOM,CENTRO,0,0
Logradouro,CHOQUE,11:36,DOMINGO,BOM,CENTRO,0,0
Cruzamento,CHOQUE,16:05,DOMINGO,BOM,SUL,0,0
Logradouro,COLISAO,22:40,DOMINGO,BOM,SUL,0,0
Logradouro,COLISAO,06:50,DOMINGO,BOM,SUL,0,1
Logradouro,CHOQUE,15:00,DOMINGO,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,11:20,DOMINGO,BOM,NORTE,0,0
Logradouro,CHOQUE,18:30,DOMINGO,BOM,LESTE,0,0
Cruzamento,COLISAO,12:00,DOMINGO,BOM,LESTE,0,0
Logradouro,CHOQUE,00:05,DOMINGO,BOM,SUL,0,0
Logradouro,ABALROAMENTO,16:45,DOMINGO,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,08:00,DOMINGO,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,19:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Cruzamento,ABALROAMENTO,15:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,16:35,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,13:40,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,08:00,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,08:00,SEGUNDA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,18:35,SEGUNDA-FEIRA,NUBLADO,CENTRO,0,0
