LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,DIA_SEM,TEMPO,REGIAO,ACID_GRAVE
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,SEXTA-FEIRA,BOM,LESTE,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,SABADO,BOM,LESTE,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,DOMINGO,BOM,SUL,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,SEGUNDA-FEIRA,BOM,SUL,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,SEGUNDA-FEIRA,BOM,NORTE,SIM
Logradouro,ATROPELAMENTO,0,1,0,0,0,0,0,0,0,0,SEGUNDA-FEIRA,BOM,LESTE,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,TERCA-FEIRA,BOM,CENTRO,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,QUARTA-FEIRA,BOM,NORTE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,QUARTA-FEIRA,BOM,NORTE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,QUINTA-FEIRA,NUBLADO,CENTRO,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,SEXTA-FEIRA,BOM,SUL,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,SEXTA-FEIRA,BOM,LESTE,SIM
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,1,0,0,SABADO,BOM,SUL,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,SABADO,BOM,SUL,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,SABADO,BOM,SUL,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,SABADO,BOM,LESTE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,DOMINGO,BOM,SUL,SIM
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,DOMINGO,BOM,SUL,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,0,0,1,DOMINGO,BOM,NORTE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,0,0,1,TERCA-FEIRA,BOM,NORTE,SIM
