LOCAL;TIPO_ACID;HORA_DISCRETIZADA;DIA_SEM;TEMPO;REGIAO;ACID_GRAVE
Cruzamento;COLISAO;MANHA;QUARTA-FEIRA;CHUVOSO;LESTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;NUBLADO;SUL;NAO
Cruzamento;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;MADRUGADA;DOMINGO;BOM;NORTE;NAO
Logradouro;COLISAO;NOITE;SABADO;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SABADO;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;SUL;NAO
Logradouro;CHOQUE;MANHA;DOMINGO;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;QUINTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;ABALROAMENTO;MANHA;DOMINGO;NUBLADO;CENTRO;NAO
Logradouro;COLISAO;MANHA;QUARTA-FEIRA;BOM;SUL;NAO
Logradouro;QUEDA;TARDE;SEGUNDA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;MANHA;SEGUNDA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;CHUVOSO;CENTRO;NAO
Logradouro;QUEDA;NOITE;SABADO;BOM;SUL;NAO
Logradouro;ATROPELAMENTO;NOITE;SEXTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;COLISAO;MANHA;SEXTA-FEIRA;NUBLADO;CENTRO;NAO
Logradouro;CHOQUE;MADRUGADA;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;NOITE;DOMINGO;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;SEGUNDA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SABADO;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;TARDE;TERCA-FEIRA;CHUVOSO;NORTE;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;DOMINGO;NUBLADO;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;CHUVOSO;SUL;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Logradouro;EVENTUAL;MANHA;SEXTA-FEIRA;BOM;CENTRO;NAO
Logradouro;CHOQUE;MADRUGADA;SEXTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;NOITE;SEGUNDA-FEIRA;CHUVOSO;SUL;NAO
