LOCAL,TIPO_ACID,DIA_SEM,TEMPO,REGIAO,HORA_DISCRETIZADA,ACID_GRAVE
Logradouro,CHOQUE,SABADO,BOM,CENTRO,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,QUEDA,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,COLISAO,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Cruzamento,ABALROAMENTO,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Cruzamento,ABALROAMENTO,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,CENTRO,MANHA,SIM
Logradouro,CHOQUE,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,SUL,MADRUGADA,SIM
Cruzamento,QUEDA,QUINTA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,SUL,NOITE,SIM
Logradouro,COLISAO,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,NUBLADO,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,COLISAO,TERCA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,SUL,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,CHOQUE,DOMINGO,BOM,CENTRO,MANHA,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,TARDE,SIM
Cruzamento,QUEDA,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Cruzamento,ABALROAMENTO,DOMINGO,BOM,SUL,MADRUGADA,SIM
Logradouro,COLISAO,DOMINGO,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,QUEDA,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,CENTRO,MADRUGADA,SIM
Cruzamento,ABALROAMENTO,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
Cruzamento,COLISAO,SEGUNDA-FEIRA,CHUVOSO,CENTRO,NOITE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,COLISAO,SABADO,NUBLADO,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,QUEDA,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,SABADO,CHUVOSO,LESTE,NOITE,SIM
Cruzamento,QUEDA,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,NOITE,SIM
Cruzamento,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,CENTRO,MANHA,SIM
Logradouro,CHOQUE,SEXTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,NUBLADO,NORTE,MANHA,SIM
Logradouro,CHOQUE,DOMINGO,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Cruzamento,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SABADO,CHUVOSO,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,SUL,TARDE,SIM
