;LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA;KMeans
0;-30.085209000000006;-51.233864;0;0;0;1;0;0;0;0;0
1;-30.108313;-51.231947;0;1;0;0;0;0;1;0;0
2;-30.045868;-51.212026;1;0;0;1;0;0;0;0;1
3;-30.034456;-51.185614;0;2;0;0;0;0;0;1;7
4;-30.131425;-51.09736;1;2;0;0;0;1;0;0;2
5;-30.0469;-51.225022;1;3;1;0;0;0;0;0;9
6;-30.059818;-51.221523;1;3;1;0;0;0;1;0;9
7;-30.045945;-51.218406;1;1;1;1;0;0;0;1;7
8;-30.043633000000003;-51.215827;1;3;1;0;0;0;0;1;7
9;-30.00445;-51.200627;1;4;1;1;0;0;0;0;9
10;-30.045811;-51.19798400000001;0;1;1;0;0;0;0;0;0
11;-30.008090000000006;-51.178845;1;3;1;0;0;0;0;0;9
12;-30.06173;-51.149253;1;3;1;1;1;0;0;0;4
13;-30.04138;-51.146589;1;3;1;0;0;0;0;0;9
14;-30.004186;-51.137857;0;1;1;0;0;0;0;1;7
15;-30.030505;-51.135712;1;3;1;0;0;0;0;1;7
16;-30.089691;-51.13255;1;2;1;3;0;0;1;1;1
17;-29990190.0;-51.125964;0;1;1;0;0;0;0;1;6
18;-30.019075;-51.115131;1;1;1;1;0;0;0;0;1
19;-30.094423;-51.229481;1;2;2;1;0;0;0;0;1
20;-30.036340000000006;-51.225952;0;2;2;0;0;0;0;0;0
21;-30.078166;-51.225175;1;3;2;0;0;0;0;0;9
22;-30.023512;-51.221612;0;1;2;0;0;0;1;1;7
23;-30.033866;-51.221243;0;2;2;0;0;0;0;0;0
24;-30.040496;-51.216612;1;3;2;1;0;0;0;0;9
25;-30.045473;-51.215893;1;2;2;0;0;0;0;0;9
26;-30.106823;-51.198773;0;2;2;2;0;0;0;0;1
27;-30.157727;-51.191565;1;3;2;0;0;0;0;1;7
28;-30.087337;-51.185829;1;3;2;1;1;0;0;0;4
29;-30.056946000000003;-51.177096;1;2;2;3;0;0;0;0;1
30;-30.017805;-51.169152;1;1;2;0;0;0;0;0;9
