LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA
-30.08520900000001;-51.233864000000004;0;0;0;1;0;0;0;0
-30.108313;-51.231947;0;1;0;0;0;0;1;0
-30.045868;-51.212026;1;0;0;1;0;0;0;0
-30.034456;-51.185614;0;2;0;0;0;0;0;1
-30.131425;-51.097359999999995;1;2;0;0;0;1;0;0
-30.0469;-51.225021999999996;1;3;1;0;0;0;0;0
-30.059818;-51.221523;1;3;1;0;0;0;1;0
-30.045945;-51.218406;1;1;1;1;0;0;0;1
-30.043633000000003;-51.215827000000004;1;3;1;0;0;0;0;1
-30.00445;-51.200627000000004;1;4;1;1;0;0;0;0
-30.045810999999997;-51.19798400000001;0;1;1;0;0;0;0;0
-30.00809000000001;-51.178845;1;3;1;0;0;0;0;0
-30.061729999999997;-51.149253;1;3;1;1;1;0;0;0
-30.04138;-51.146589;1;3;1;0;0;0;0;0
-30.004185999999997;-51.137857000000004;0;1;1;0;0;0;0;1
-30.030504999999998;-51.135712;1;3;1;0;0;0;0;1
-30.089691;-51.13255;1;2;1;3;0;0;1;1
-29990190.0;-51.125964;0;1;1;0;0;0;0;1
-30.019075;-51.115131;1;1;1;1;0;0;0;0
-30.094423;-51.229481;1;2;2;1;0;0;0;0
-30.03634000000001;-51.225952;0;2;2;0;0;0;0;0
-30.078165999999996;-51.225175;1;3;2;0;0;0;0;0
-30.023512;-51.221612;0;1;2;0;0;0;1;1
-30.033865999999996;-51.221243;0;2;2;0;0;0;0;0
-30.040496;-51.216612;1;3;2;1;0;0;0;0
-30.045472999999998;-51.215893;1;2;2;0;0;0;0;0
-30.106823;-51.198772999999996;0;2;2;2;0;0;0;0
-30.157727;-51.191565000000004;1;3;2;0;0;0;0;1
-30.087336999999998;-51.185829;1;3;2;1;1;0;0;0
-30.056946000000003;-51.177096;1;2;2;3;0;0;0;0
-30.017805;-51.169152000000004;1;1;2;0;0;0;0;0
-30.05462;-51.168563;1;2;2;1;0;0;0;1
-30.039267;-51.164193;0;3;2;0;0;0;0;0
-30.061090999999998;-51.15130900000001;1;2;2;1;0;0;0;1
-30.01503300000001;-51.147949;1;1;2;0;0;0;0;0
-30.016421;-51.13118;1;1;2;1;0;0;0;0
-30.106370000000002;-51.257433;1;1;3;1;0;0;0;1
-30.109053999999997;-51.254034999999995;0;1;3;0;0;0;0;0
-30.105424;-51.243516;1;1;3;0;0;0;0;0
-30.035978000000004;-51.237158;1;1;3;1;0;0;0;0
-30.030759999999997;-51.235121;1;3;3;0;0;0;0;0
-30.025209000000004;-51.225048;1;3;3;1;0;0;0;0
-30.029484000000004;-51.224939;1;3;3;0;0;0;1;1
-30.024221;-51.22485800000001;1;3;3;0;0;0;0;0
-30.034090999999997;-51.221845;1;3;3;0;0;0;0;0
-30.022104;-51.220384;1;3;3;0;0;0;1;0
-30.156003000000002;-51.219165000000004;1;0;3;1;0;0;0;1
-30.045343;-51.213913;1;1;3;0;0;0;0;0
-30.048140999999998;-51.212313;1;2;3;0;0;0;0;0
-30.04979;-51.212129;0;1;3;0;0;0;0;1
-30.080375;-51.210776;1;0;3;1;1;0;0;0
-30.052239;-51.206869;0;3;3;0;0;0;0;0
-30.057627;-51.201240999999996;1;3;3;0;0;0;0;0
-30.029638000000002;-51.199581;1;2;3;0;0;0;0;0
-30.016171000000003;-51.197241999999996;1;3;3;0;0;0;0;0
-30.047771;-51.196658;1;1;3;0;0;0;0;0
-30.027454;-51.196078;1;3;3;0;0;0;0;1
-30.006557;-51.193828;1;3;3;2;0;0;0;1
-29996489.0;-51.191881;0;1;3;0;0;0;0;0
-29996860.0;-51.190188;0;1;3;0;0;0;0;1
-30.024357000000002;-51.186336;0;1;3;0;0;0;0;0
-30.056841;-51.183921999999995;0;1;3;0;0;0;0;0
-30.039856;-51.177399;1;3;3;1;0;0;0;0
-30.00511;-51.17523;1;1;3;0;0;0;0;0
-30.027234000000004;-51.170424;1;0;3;1;0;0;0;1
-30.062019;-51.162892;0;1;3;0;0;0;0;0
-30.05528300000001;-51.15932700000001;1;1;3;0;0;0;0;0
-30.041705;-51.156859999999995;1;0;3;1;1;0;0;0
-30.02945900000001;-51.15574;1;1;3;0;0;0;0;0
-30.064432;-51.153586;1;2;3;0;0;0;0;0
-30.164131;-51.153469;1;3;3;1;0;0;0;0
-30.041387;-51.15267100000001;1;1;3;1;0;0;0;0
-30.067771;-51.150783000000004;1;0;3;1;1;0;0;1
-30.165002;-51.147843;1;0;3;1;0;0;1;1
-30.154159000000003;-51.140063;1;3;3;0;0;0;0;0
-30.004185999999997;-51.137857000000004;1;0;3;1;0;0;0;0
-30.009553000000004;-51.132803;1;3;3;0;0;0;0;0
-29980414.0;-51.114992;1;1;3;1;0;0;0;1
-29990347.0;-51.1039;1;3;3;1;0;0;0;0
-30.110033;-51.252989;1;1;4;0;0;0;0;0
-30.102890999999996;-51.252434;1;1;4;1;0;0;0;0
-30.082895;-51.247007;1;1;4;0;0;0;0;0
-30.035493;-51.240556;0;3;4;0;0;0;0;0
-30.035493;-51.240556;0;1;4;0;0;0;0;0
-30.035493;-51.240556;1;4;4;1;0;0;0;0
-30.035493;-51.240556;1;4;4;1;0;0;0;1
-30.039354;-51.225751;1;2;4;0;0;0;0;0
-30.042309999999997;-51.223619;1;1;4;0;0;0;0;1
-30.122412;-51.221016999999996;1;3;4;0;0;0;0;0
-30.086815;-51.216667;1;1;4;0;0;0;0;0
-30.028444;-51.215826;0;2;4;0;0;0;0;0
-30.012371999999996;-51.21144;1;4;4;1;1;0;0;0
-30.080716;-51.205329;1;1;4;0;0;0;0;0
-30.039193;-51.197375;0;3;4;0;0;0;1;0
-30.044974;-51.190457;1;3;4;0;0;0;0;1
-30.007327000000004;-51.190129;1;3;4;0;0;0;0;0
-30.068196;-51.188243;1;3;4;0;0;0;1;0
-30.031958000000003;-51.180391;1;1;4;0;0;0;0;0
-30.002724;-51.17876500000001;1;1;4;0;0;0;0;0
-30.034725;-51.174541;1;1;4;1;0;0;0;0
-30.040091999999998;-51.169246;0;3;4;0;0;0;1;0
-30.057265;-51.167285;1;1;4;0;0;0;0;1
-30.058628999999996;-51.148336;0;0;4;1;0;0;0;0
-30.029443;-51.139478000000004;0;1;4;0;0;0;0;0
-29994653.0;-51.130345;1;3;4;2;0;0;0;1
-30.09218;-51.130196999999995;1;1;4;1;0;0;0;0
-29987040.0;-51.116544;1;0;4;1;0;0;0;0
-30.033826;-51.106593;1;3;4;0;0;0;1;0
-30.108377;-51.23188;1;1;5;1;0;0;0;0
-30.100976;-51.230468;1;1;5;0;0;0;0;1
-30.109654;-51.226469;1;3;5;1;0;0;1;0
-30.04985;-51.224367;1;1;5;1;0;0;0;0
-30.030072999999998;-51.223420000000004;1;3;5;0;0;0;1;0
-30.027614;-51.219424;1;3;5;0;0;0;0;1
-30.057876;-51.215021;1;1;5;0;0;0;1;0
-30.011658;-51.212536;1;3;5;0;0;0;2;0
-30.022213;-51.208104;1;0;5;1;0;0;0;0
-30.061023;-51.206405;1;3;5;2;0;0;0;1
-30.146727000000002;-51.205353;1;0;5;1;0;0;0;1
-30.034584000000002;-51.204902000000004;1;1;5;0;0;0;0;1
-30.042208000000002;-51.203917;0;3;5;0;0;0;1;0
-30.005658;-51.202339;1;1;5;1;0;0;0;0
-30.006768;-51.193132;1;3;5;0;0;0;1;0
-29999270.0;-51.192584000000004;1;3;5;1;0;0;0;1
-30.070052;-51.189585;1;0;5;1;0;0;0;0
-30.036604999999998;-51.187627;1;3;5;0;0;0;2;0
-30.017856;-51.18633;0;1;5;0;0;0;0;0
-30.025948;-51.182066;1;3;5;0;0;0;0;0
-30.024354;-51.17992;1;3;5;0;0;0;0;0
-30.007746;-51.179056;1;1;5;1;0;0;0;1
-30.01045;-51.174469;1;1;5;3;0;0;0;0
-30.046768;-51.173814;1;3;5;0;0;0;0;0
-30.010817;-51.166108;0;3;5;0;0;0;0;0
-30.010708;-51.165259999999996;1;1;5;0;0;0;0;0
-30.06127;-51.164099;1;3;5;0;0;0;0;1
-29984317.0;-51.159565;1;1;5;0;0;0;2;0
-30.06832;-51.150771;0;2;5;0;0;0;0;0
-30.066546000000002;-51.148231;1;3;5;0;0;0;1;0
-30.066982;-51.147419;1;3;5;0;0;0;0;0
-29986560.0;-51.116572999999995;1;0;5;1;1;0;0;0
-29979053.0;-51.114543;1;1;5;1;1;0;0;0
-30.041679;-51.228749;1;1;6;0;0;0;1;0
-30.108359999999998;-51.226986;1;3;6;0;0;0;2;0
-30.028825;-51.223917;1;3;6;0;0;0;1;1
-30.024473999999998;-51.223663;1;0;6;1;1;0;1;0
-30.05955100000001;-51.223104;1;3;6;1;0;0;1;0
-30.033298;-51.22094;1;3;6;0;0;0;1;0
-30.09044;-51.220285;1;2;6;0;0;0;1;1
-30.038121000000004;-51.218063;1;1;6;1;0;0;0;0
-30.047013;-51.214046;1;1;6;0;0;0;1;0
-30.079072999999998;-51.209514;1;2;6;0;0;0;0;0
-30.0425;-51.199981;1;4;6;1;0;0;0;0
-30.081483000000002;-51.196971999999995;0;2;6;1;0;0;0;0
-30.050317;-51.194202000000004;1;1;6;0;0;0;0;1
-30.028655;-51.189642;0;1;6;0;0;0;1;0
-29999766.0;-51.189437;1;1;6;0;0;0;0;0
-30.053335999999998;-51.186376;1;5;6;0;0;0;1;0
-30.017856;-51.18633;1;1;6;0;0;0;0;1
-30.007182;-51.184472;1;3;6;0;0;0;0;0
-30.066176000000002;-51.178340999999996;1;1;6;0;0;0;1;0
-29987384.0;-51.178336;1;1;6;1;0;0;0;0
-30.03769;-51.174543;1;3;6;0;0;0;2;1
-29974030.0;-51.16993400000001;1;1;6;1;0;0;1;0
-30.05466;-51.161023;1;3;6;0;0;0;1;0
-29999746.0;-51.158097;1;2;6;0;0;0;1;0
-30.164059;-51.153279;1;3;6;0;0;0;0;0
-30.014421000000002;-51.113933;1;1;6;0;0;0;0;0
-30.126143;-51.100590999999994;1;1;6;2;0;0;2;0
-30.09730900000001;-51.248072;0;1;0;0;0;0;0;1
-30.085592;-51.240790999999994;1;3;0;1;0;0;0;1
-30.08320800000001;-51.240213;0;3;0;0;0;0;0;0
-30.08320800000001;-51.240213;1;1;0;1;0;0;0;0
-30.041987;-51.230824;1;3;0;0;0;0;1;0
-30.026472;-51.22727800000001;1;0;0;1;0;0;0;0
-30.13498400000001;-51.226769;1;3;0;0;0;0;0;0
-30.157669;-51.226101;1;5;0;0;0;0;1;0
-30.099904;-51.22472;0;1;0;0;0;0;1;0
-30.138732;-51.222744;1;1;0;1;1;0;0;0
-30.137992999999998;-51.220541;0;1;0;0;0;0;0;0
-30.025741999999997;-51.2189;1;1;0;0;0;0;1;0
-30.047077;-51.218819;1;3;0;0;0;0;0;0
-30.032413000000002;-51.218647999999995;1;3;0;0;0;0;0;0
-30.040657;-51.214428999999996;1;1;0;0;0;0;0;0
-30.04379;-51.21027;0;0;0;1;0;0;0;1
-30.059494;-51.207325;1;3;0;0;0;0;0;1
-30.02763;-51.200157;0;1;0;0;0;0;1;0
-30.04122000000001;-51.191234;1;1;0;0;0;0;0;1
-30.02331;-51.190227;1;1;0;0;0;0;0;0
-29996946.0;-51.190187;1;1;0;1;0;0;0;1
-30.001034000000004;-51.19011500000001;0;1;0;0;0;0;0;0
-30.042032;-51.189448;1;0;0;1;1;0;0;0
-30.004209000000003;-51.182598;1;3;0;1;0;0;0;0
-30.0425;-51.170697;0;1;0;0;0;0;0;0
