ID;LOCAL_VIA;LOG1;LOG2;PREDIAL1;LOCAL;TIPO_ACID;QUEDA_ARR;DATA_HORA;DATA;DIA_SEM;HORA;FERIDOS;FERIDOS_GR;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_MET;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;OUTRO;TEMPO;NOITE_DIA;FONTE;BOLETIM;REGIAO;DIA;MES;ANO;FX_HORA;CONT_ACID;CONT_VIT;UPS;CONSORCIO;CORREDOR;LONGITUDE;LATITUDE
588602;4029 AV GUAIBA;AV GUAIBA;;4029;Logradouro;ABALROAMENTO;0;2014-04-30,T13:10:00;20140430;QUARTA-FEIRA;13:10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;268797;SUL;30;4;2014;13;1;0;1;STS;0;-51,264871;-30,099093
599738;74 AV PEREIRA PASSOS;AV PEREIRA PASSOS;;74;Logradouro;ATROPELAMENTO;0;2014-12-05T10:00:00;20141205;SEXTA-FEIRA;10:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;888714;SUL;5;12;2014;10;1;1;5;;0;-51,263745;-30,099168
586622;371 R CAPITAO COELHO;R CAPITAO COELHO;;371;Logradouro;COLISAO;0;2014-03-29T16:16:00;20140329;SABADO;16:16;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;BOM;DIA;DEPTRAN;223714;NORTE;29;3;2014;16;1;1;5;;0;-51,262116;-30,012068
582588;336 R CAPITAO COELHO;R CAPITAO COELHO;;336;Logradouro;CHOQUE;0;2014-01-09T10:06:00;20140109;QUINTA-FEIRA;10:06;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;247507;NORTE;9;1;2014;10;1;0;1;;0;-51,261788;-30,012157
591292;131 AV COPACABANA;AV COPACABANA;;131;Logradouro;ABALROAMENTO;0;2014-06-29T21:00:00;20140629;DOMINGO;21:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;468514;SUL;29;6;2014;21;1;0;1;;0;-51,259429;-30,104691
583704;160 AV COPACABANA;AV COPACABANA;;160;Logradouro;CHOQUE;0;2014-01-31T14:35:00;20140131;SEXTA-FEIRA;14:35;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;257262;SUL;31;1;2014;14;1;0;1;;0;-51,259007;-30,104525
587173;186 AV COPACABANA;AV COPACABANA;;186;Logradouro;ABALROAMENTO;0;2014-04-07T22:00:00;20140407;SEGUNDA-FEIRA;22:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;BOM;NOITE;DEPTRAN;250414;SUL;7;4;2014;22;1;1;5;;1;-51,258805;-30,104473
590241;2495 R OTAVIANO DE OLIVEIRA;R OTAVIANO DE OLIVEIRA;;2495;Logradouro;COLISAO;0;2014-05-04T17:30:00;20140504;DOMINGO;17:30;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;BOM;DIA;DEPTRAN;408214;SUL;4;5;2014;17;1;1;5;STS;0;-51,258778;-30,113242
590078;R CHAVANTES & R CAETE;R CHAVANTES;R CAETE;0;Cruzamento;ABALROAMENTO;0;2014-05-31T16:30:00;20140531;SABADO;16:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;CHUVOSO;DIA;EPTC;268733;SUL;31;5;2014;16;1;0;1;;0;-51,258510;-30,103520
595756;R CHAVANTES & R CAETE;R CHAVANTES;R CAETE;0;Cruzamento;ABALROAMENTO;0;2014-09-20T16:00:00;20140920;SABADO;16:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;272275;SUL;20;9;2014;16;1;0;1;;0;-51,258510;-30,103520
